epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,739.393,0.34612,0.25074,0.87036,0.99731,0.99744,0.99297,0.9755,0.27712,0.18128,0.83608,0.00045941,0.00045941,0.00045941
43,756.598,0.35047,0.25767,0.87547,0.99723,0.99744,0.99298,0.97235,0.29258,0.18432,0.84101,0.00045842,0.00045842,0.00045842
44,773.525,0.33385,0.24457,0.86003,0.99711,0.99744,0.99276,0.97331,0.28401,0.18205,0.83514,0.00045743,0.00045743,0.00045743
45,790.68,0.34854,0.25198,0.87229,0.99711,0.99744,0.99288,0.97357,0.28197,0.18404,0.83684,0.00045644,0.00045644,0.00045644
46,809.431,0.32412,0.23925,0.85534,0.99715,0.99744,0.99294,0.97637,0.27211,0.18035,0.83678,0.00045545,0.00045545,0.00045545
47,826.929,0.32933,0.24239,0.86234,0.99715,0.99744,0.99291,0.9761,0.28196,0.18236,0.84308,0.00045446,0.00045446,0.00045446
48,845.396,0.35403,0.25353,0.88018,0.9972,0.99744,0.99297,0.97551,0.27963,0.18264,0.84027,0.00045347,0.00045347,0.00045347
49,862.542,0.32685,0.24133,0.86032,0.99726,0.99744,0.99296,0.9774,0.27686,0.17713,0.83724,0.00045248,0.00045248,0.00045248
50,879.633,0.3311,0.24383,0.86716,0.99728,0.99744,0.99288,0.9786,0.26647,0.17296,0.83737,0.00045149,0.00045149,0.00045149
51,897.509,0.32805,0.24088,0.8633,0.99732,0.99744,0.99288,0.97761,0.27343,0.17373,0.83925,0.0004505,0.0004505,0.0004505
52,916.058,0.32065,0.2353,0.8563,0.99729,0.99744,0.99287,0.97811,0.26885,0.17391,0.83263,0.00044951,0.00044951,0.00044951
53,933.628,0.31565,0.23206,0.85183,0.99728,0.99744,0.99284,0.97679,0.26419,0.17373,0.83151,0.00044852,0.00044852,0.00044852
54,951.647,0.32692,0.2365,0.86391,0.99731,0.99744,0.99281,0.977,0.26334,0.17306,0.83041,0.00044753,0.00044753,0.00044753
55,969.534,0.31563,0.23082,0.8576,0.99731,0.99744,0.99289,0.97875,0.26722,0.173,0.83349,0.00044654,0.00044654,0.00044654
56,988.463,0.30819,0.23266,0.84919,0.99731,0.99744,0.99276,0.97768,0.26917,0.17145,0.83414,0.00044555,0.00044555,0.00044555
57,1006.09,0.30722,0.22446,0.85132,0.99732,0.99744,0.99279,0.97795,0.27192,0.17071,0.8322,0.00044456,0.00044456,0.00044456
58,1023.26,0.32392,0.23713,0.8677,0.99731,0.99744,0.99285,0.97942,0.26245,0.16906,0.82552,0.00044357,0.00044357,0.00044357
59,1040.22,0.31369,0.22978,0.85556,0.99731,0.99744,0.99266,0.97955,0.25715,0.16992,0.82368,0.00044258,0.00044258,0.00044258
60,1057.81,0.31417,0.2316,0.86044,0.9973,0.99744,0.99292,0.97913,0.26437,0.16852,0.8244,0.00044159,0.00044159,0.00044159
61,1074.94,0.31393,0.23114,0.86078,0.99732,0.99744,0.99277,0.97959,0.25911,0.16596,0.82354,0.0004406,0.0004406,0.0004406
62,1092.38,0.31209,0.22855,0.85389,0.99731,0.99744,0.99293,0.9795,0.26634,0.16471,0.8269,0.00043961,0.00043961,0.00043961
63,1109.69,0.31556,0.23244,0.85699,0.9973,0.99744,0.99275,0.9794,0.25029,0.15906,0.81924,0.00043862,0.00043862,0.00043862
64,1127,0.30287,0.22517,0.85009,0.9973,0.99744,0.9926,0.97525,0.27183,0.16665,0.82459,0.00043763,0.00043763,0.00043763
65,1144.32,0.30488,0.2252,0.85437,0.99732,0.99744,0.99282,0.97838,0.26008,0.16388,0.82256,0.00043664,0.00043664,0.00043664
66,1161.62,0.29627,0.2219,0.85094,0.99733,0.99744,0.99275,0.97869,0.26229,0.16462,0.82418,0.00043565,0.00043565,0.00043565
67,1178.94,0.29915,0.22144,0.84773,0.99733,0.99744,0.99289,0.978,0.25577,0.16226,0.82201,0.00043466,0.00043466,0.00043466
68,1196.11,0.3039,0.22584,0.85442,0.99733,0.99744,0.99283,0.97898,0.2553,0.16378,0.82329,0.00043367,0.00043367,0.00043367
69,1213.51,0.30821,0.23033,0.8626,0.99732,0.99744,0.99293,0.97948,0.25114,0.16277,0.82077,0.00043268,0.00043268,0.00043268
70,1230.48,0.29883,0.22335,0.84999,0.99731,0.99744,0.9929,0.98181,0.24638,0.16106,0.8232,0.00043169,0.00043169,0.00043169
71,1248.1,0.28909,0.21848,0.84269,0.99732,0.99744,0.99297,0.98154,0.2454,0.15937,0.82252,0.0004307,0.0004307,0.0004307
72,1265.33,0.29609,0.2199,0.85017,0.99733,0.99744,0.99297,0.98088,0.24832,0.15833,0.82275,0.00042971,0.00042971,0.00042971
73,1282.47,0.30776,0.22584,0.86293,0.99733,0.99744,0.99292,0.9787,0.26808,0.16493,0.82708,0.00042872,0.00042872,0.00042872
74,1299.84,0.28634,0.21739,0.8433,0.99732,0.99744,0.99292,0.97923,0.25892,0.15973,0.82382,0.00042773,0.00042773,0.00042773
75,1317.34,0.30005,0.22144,0.85651,0.99728,0.99744,0.99294,0.97897,0.26439,0.16241,0.82295,0.00042674,0.00042674,0.00042674
76,1334.48,0.29112,0.21645,0.84639,0.99728,0.99744,0.99299,0.98233,0.2469,0.15948,0.8198,0.00042575,0.00042575,0.00042575
77,1352.05,0.30428,0.21982,0.85567,0.99728,0.99744,0.99296,0.98243,0.23816,0.15825,0.81422,0.00042476,0.00042476,0.00042476
78,1369.58,0.29407,0.21903,0.85428,0.99726,0.99744,0.99296,0.98231,0.23681,0.15327,0.81303,0.00042377,0.00042377,0.00042377
79,1386.95,0.27961,0.20911,0.84217,0.99729,0.99744,0.99291,0.98228,0.23471,0.15187,0.812,0.00042278,0.00042278,0.00042278
80,1404.57,0.28178,0.21158,0.84702,0.99731,0.99744,0.99295,0.98172,0.24423,0.15481,0.81313,0.00042179,0.00042179,0.00042179
81,1421.71,0.29189,0.21712,0.8497,0.99728,0.9974,0.99284,0.98171,0.24788,0.15646,0.81523,0.0004208,0.0004208,0.0004208
82,1439.12,0.27888,0.20975,0.84261,0.99728,0.99744,0.99278,0.98269,0.2343,0.15292,0.81066,0.00041981,0.00041981,0.00041981
83,1456.43,0.28443,0.20785,0.84021,0.99731,0.99744,0.99258,0.98234,0.23616,0.15519,0.81123,0.00041882,0.00041882,0.00041882
84,1473.71,0.28326,0.21138,0.84445,0.99729,0.99744,0.99268,0.98342,0.23261,0.15275,0.80953,0.00041783,0.00041783,0.00041783
85,1491.04,0.2819,0.20776,0.84585,0.99731,0.99744,0.99279,0.98227,0.23761,0.15279,0.81321,0.00041684,0.00041684,0.00041684
86,1509.62,0.27116,0.20396,0.83897,0.99732,0.99744,0.99275,0.98295,0.24086,0.15244,0.81534,0.00041585,0.00041585,0.00041585
87,1530.38,0.27618,0.20786,0.84508,0.99722,0.99744,0.99271,0.98293,0.23573,0.15121,0.81453,0.00041486,0.00041486,0.00041486
88,1549.57,0.2978,0.21358,0.85734,0.99731,0.99744,0.99282,0.98345,0.23347,0.14952,0.81157,0.00041387,0.00041387,0.00041387
89,1568.65,0.28106,0.20563,0.844,0.99726,0.99744,0.99286,0.98217,0.24106,0.15301,0.8115,0.00041288,0.00041288,0.00041288
90,1586.55,0.26683,0.19775,0.83486,0.99727,0.99744,0.99296,0.9823,0.24955,0.15489,0.81435,0.00041189,0.00041189,0.00041189
91,1605.04,0.27924,0.20976,0.84862,0.99729,0.99744,0.993,0.98198,0.24783,0.15353,0.81217,0.0004109,0.0004109,0.0004109
92,1623.3,0.27422,0.20638,0.84396,0.9973,0.99744,0.99299,0.98158,0.2449,0.15287,0.81262,0.00040991,0.00040991,0.00040991
